Date,Open,High,Low,Close,Volume
8/14/2017,39.830002,40.052502,39.6875,39.962502,88490800
8/15/2017,40.165001,40.549999,40.035,40.400002,117862000
8/16/2017,40.485001,40.627499,40.037498,40.237499,110686400
8/17/2017,40.130001,40.177502,39.459999,39.465,111762400
8/18/2017,39.465,39.875,39.18,39.375,109712400
8/21/2017,39.375,39.4725,38.7775,39.302502,105474000
8/22/2017,39.557499,40,39.505001,39.945,86418400
8/23/2017,39.767502,40.1175,39.720001,39.994999,77596400
8/24/2017,40.107498,40.185001,39.637501,39.817501,79275600
8/25/2017,39.912498,40.139999,39.817501,39.965,101920400
8/28/2017,40.035,40.5,39.982498,40.3675,103864000
8/29/2017,40.025002,40.779999,40,40.727501,118067600
8/30/2017,40.950001,40.9725,40.6525,40.837502,109078400
8/31/2017,40.91,41.130001,40.869999,41,107140400
9/1/2017,41.200001,41.235001,40.907501,41.012501,66364400
9/5/2017,40.9375,41.0625,40.139999,40.52,117874000
9/6/2017,40.677502,40.747501,40.130001,40.477501,86606800
9/7/2017,40.522499,40.560001,40.09,40.314999,87714000
9/8/2017,40.215,40.287498,39.6325,39.657501,114446000
9/11/2017,40.125,40.512501,39.9725,40.375,126323200
9/12/2017,40.6525,40.990002,39.692501,40.215,286856000
9/13/2017,39.967499,39.990002,39.477501,39.912498,179629600
9/14/2017,39.747501,39.849998,39.522499,39.57,95042800
9/15/2017,39.6175,40.2425,39.5,39.970001,196458400
9/18/2017,40.0275,40.125,39.5,39.6675,113077600
9/19/2017,39.877499,39.942501,39.610001,39.682499,83242400
9/20/2017,39.474998,39.564999,38.4575,39.017502,211805600
9/21/2017,38.950001,38.950001,38.1875,38.3475,150046800
9/22/2017,37.884998,38.067501,37.639999,37.9725,186581600
9/25/2017,37.497501,37.9575,37.290001,37.637501,177549200
9/26/2017,37.945,38.48,37.922501,38.285,146640000
9/27/2017,38.450001,38.68,38.384998,38.557499,102016800
9/28/2017,38.4725,38.57,38.174999,38.32,88022000
9/29/2017,38.302502,38.532501,38,38.529999,105199200
10/2/2017,38.564999,38.612499,38.18,38.452499,74795200
10/3/2017,38.502499,38.772499,38.477501,38.619999,64921200
10/4/2017,38.407501,38.465,38.115002,38.369999,80655200
10/5/2017,38.544998,38.860001,38.512501,38.8475,85135200
10/6/2017,38.7425,38.872501,38.639999,38.825001,69630400
10/9/2017,38.952499,39.182499,38.872501,38.959999,65051600
10/10/2017,39.014999,39.5,38.775002,38.974998,62468000
10/11/2017,38.9925,39.244999,38.9375,39.137501,67622400
10/12/2017,39.087502,39.342499,38.932499,39,64500400
10/13/2017,39.182499,39.32,39.102501,39.247501,65576800
10/16/2017,39.474998,40,39.412498,39.970001,96486000
10/17/2017,39.945,40.217499,39.807499,40.1175,75989200
10/18/2017,40.105,40.177502,39.900002,39.939999,65496800
10/19/2017,39.1875,39.27,38.755001,38.994999,170336800
10/20/2017,39.1525,39.4375,38.990002,39.0625,95896400
10/23/2017,39.2225,39.422501,38.875,39.0425,87937200
10/24/2017,39.072498,39.355,39.049999,39.275002,71028800
10/25/2017,39.227501,39.387501,38.817501,39.102501,84828400
10/26/2017,39.307499,39.4575,39.195,39.352501,68002000
10/27/2017,39.822498,40.900002,39.674999,40.762501,177816800
10/30/2017,40.9725,42.017502,40.93,41.68,178803200
10/31/2017,41.974998,42.412498,41.735001,42.259998,144187200
11/1/2017,42.467499,42.485001,41.4025,41.7225,134551200
11/2/2017,41.650002,42.125,41.32,42.0275,165573600
11/3/2017,43.5,43.564999,42.779999,43.125,237594400
11/6/2017,43.092499,43.747501,42.93,43.5625,140105200
11/7/2017,43.477501,43.8125,43.400002,43.702499,97446000
